x,rho(x),R(x),V(rho)
-6.436436436436435926e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.416416416416415913e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.396396396396395900e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.376376376376375887e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.356356356356355874e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.336336336336335862e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.316316316316315849e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.296296296296295836e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.276276276276275823e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.256256256256255810e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.236236236236235797e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.216216216216215784e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.196196196196195771e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.176176176176175758e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.156156156156155745e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.136136136136135732e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.116116116116115720e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.096096096096095707e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.076076076076075694e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.056056056056055681e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.036036036036035668e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.016016016016015655e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.995995995995995642e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.975975975975975629e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.955955955955955616e+00,1.000000000000000000e+00,-4.155013832995993565e-13,0.000000000000000000e+00
-5.935935935935935603e+00,1.000000000000000000e+00,-4.155013832995993060e-13,0.000000000000000000e+00
-5.915915915915915591e+00,1.000000000000000222e+00,4.155013832995993060e-13,2.465190328815661892e-32
-5.895895895895895578e+00,1.000000000000000222e+00,4.155013832995992555e-13,2.465190328815661892e-32
-5.875875875875875565e+00,1.000000000000000222e+00,0.000000000000000000e+00,2.465190328815661892e-32
-5.855855855855855552e+00,1.000000000000000222e+00,-4.155013832995992555e-13,2.465190328815661892e-32
-5.835835835835835539e+00,1.000000000000000222e+00,-4.155013832995992050e-13,2.465190328815661892e-32
-5.815815815815815526e+00,1.000000000000000444e+00,4.612992025028173105e-29,9.860761315262647568e-32
-5.795795795795795513e+00,1.000000000000000444e+00,-4.155013832995991040e-13,9.860761315262647568e-32
-5.775775775775775500e+00,1.000000000000000666e+00,-4.155013832995989021e-13,2.218671295934095703e-31
-5.755755755755755487e+00,1.000000000000000888e+00,1.845196810011267448e-28,3.944304526105059027e-31
-5.735735735735735474e+00,1.000000000000001110e+00,1.845196810011266776e-28,6.162975822039154730e-31
-5.715715715715715461e+00,1.000000000000001332e+00,-4.155013832995985991e-13,8.874685183736382811e-31
-5.695695695695695449e+00,1.000000000000001554e+00,-1.246504149898795545e-12,1.207943261119674327e-30
-5.675675675675675436e+00,1.000000000000001998e+00,-8.310027665991959866e-13,1.996804166340686132e-30
-5.655655655655655423e+00,1.000000000000002665e+00,-4.155013832995970845e-13,3.549874073494553124e-30
-5.635635635635635410e+00,1.000000000000003109e+00,-1.662005533198390560e-12,4.831773044478697308e-30
-5.615615615615615397e+00,1.000000000000003997e+00,-1.662005533198386924e-12,7.987216665362744530e-30
-5.595595595595595384e+00,1.000000000000005107e+00,-1.662005533198384299e-12,1.304085683943485141e-29
-5.575575575575575371e+00,1.000000000000006217e+00,-2.493008299797572915e-12,1.932709217791478923e-29
-5.555555555555555358e+00,1.000000000000007994e+00,-2.493008299797564029e-12,3.194886666145097812e-29
-5.535535535535535345e+00,1.000000000000009770e+00,-3.739512449696340995e-12,4.772608476587121423e-29
-5.515515515515515332e+00,1.000000000000012212e+00,-4.986016599595102208e-12,7.457200744667377223e-29
-5.495495495495495319e+00,1.000000000000015321e+00,-5.401517982894664507e-12,1.173677115549136627e-28
-5.475475475475475307e+00,1.000000000000019096e+00,-6.648022132793398256e-12,1.823254767192063535e-28
-5.455455455455455294e+00,1.000000000000023759e+00,-8.310027665991687034e-12,2.822396407461051300e-28
-5.435435435435435281e+00,1.000000000000029532e+00,-1.038753458248952115e-11,4.360675172642024321e-28
-5.415415415415415268e+00,1.000000000000036637e+00,-1.329604426558645562e-11,6.711480670200639501e-28
-5.395395395395395255e+00,1.000000000000045519e+00,-1.620455394868326085e-11,1.035996235684781910e-27
-5.375375375375375242e+00,1.000000000000056621e+00,-1.911306363177991745e-11,1.602990011312384145e-27
-5.355355355355355229e+00,1.000000000000070166e+00,-2.368357884807464553e-11,2.461640454742167339e-27
-5.335335335335335216e+00,1.000000000000086819e+00,-2.950059821426769376e-11,3.768807626596672057e-27
-5.315315315315315203e+00,1.000000000000107470e+00,-3.614862034705928175e-11,5.774856256670416922e-27
-5.295295295295295190e+00,1.000000000000132783e+00,-4.487414939634777166e-11,8.815619223457959552e-27
-5.275275275275275177e+00,1.000000000000164091e+00,-5.484618259553353160e-11,1.346292207563138088e-26
-5.255255255255255165e+00,1.000000000000202727e+00,-6.648022132791549217e-11,2.054906237200542468e-26
-5.235235235235235152e+00,1.000000000000250022e+00,-8.185377250999021924e-11,3.125555653337486137e-26
-5.215215215215215139e+00,1.000000000000308198e+00,-1.001358333751568402e-10,4.749297636837840524e-26
-5.195195195195195126e+00,1.000000000000379696e+00,-1.221574066900121822e-10,7.208463040489876938e-26
-5.175175175175175113e+00,1.000000000000467182e+00,-1.495804979877503391e-10,1.091294399064643311e-25
-5.155155155155155100e+00,1.000000000000574651e+00,-1.819896058850665902e-10,1.651121373368312654e-25
-5.135135135135135087e+00,1.000000000000706102e+00,-2.218777386817494785e-10,2.492899068111549932e-25
-5.115115115115115074e+00,1.000000000000866862e+00,-2.704914005276851327e-10,3.757249828259052708e-25
-5.095095095095095061e+00,1.000000000001063594e+00,-3.286615941894550257e-10,5.656157342337942801e-25
-5.075075075075075048e+00,1.000000000001303624e+00,-4.001278321167266432e-10,8.497176044061900493e-25
-5.055055055055055035e+00,1.000000000001596723e+00,-4.865521198426578125e-10,1.274761776596060368e-24
-5.035035035035035023e+00,1.000000000001954215e+00,-5.900119642836895878e-10,1.909477288784623414e-24
-5.015015015015015010e+00,1.000000000002389866e+00,-7.150778806560288191e-10,2.855729946878294747e-24
-4.994994994994994997e+00,1.000000000002920109e+00,-8.667358855591409227e-10,4.263517116054644742e-24
-4.974974974974974984e+00,1.000000000003565148e+00,-1.049971995592433309e-09,6.355140760829182764e-24
-4.954954954954954971e+00,1.000000000004349188e+00,-1.270603230121827628e-09,9.457716723434257809e-24
-4.934934934934934958e+00,1.000000000005301537e+00,-1.535277611279722647e-09,1.405314721327206300e-23
